id,nombre,continente
1,Chile,7
2,Argentina ,7
3,Australia ,5
4,Austria,4
5,Bélgica,4
6,Bolivia ,7
7,Brasil ,7
8,Canadá ,2
9,China,3
10,Alemania ,4
11,Colombia ,7
12,Corea,3
13,Costa Rica ,2
14,Cuba,2
15,Ecuador ,7
16,España,4
17,Estados Unidos ,2
18,Filipinas,3
19,Finlandia,4
20,Francia,4
21,Guatemala ,2
22,Holanda,4
23,Honduras,2
24,Italia,4
25,Japón,3
26,Letonia,4
27,México ,2
28,Nicaragua ,2
29,Noruega,4
30,Nueva Zelanda ,5
31,Panamá ,2
32,Paraguay,7
33,Perú,7
34,Portugal,4
35,Puerto Rico,2
36,Reino Unido,4
37,República Checa,4
38,Suecia,4
39,Uruguay ,7
40,Venezuela ,7
